normalizer,source_token,class_sequence
PHONO-WG-v1/ReN,geboret,K E P O R E T
PHONO-WG-v1/ReN,erbenomeden,E R P E N O M E T E N
PHONO-WG-v1/ReN,sez,S E S
PHONO-WG-v1/ReN,sal,S A L
PHONO-WG-v1/ReN,em,E M
PHONO-WG-v1/ReN,geuen,K E U E N
PHONO-WG-v1/ReN,allerJerlik,A L L E R J E R L I K
PHONO-WG-v1/ReN,dy,T I
PHONO-WG-v1/ReN,man,M A N
PHONO-WG-v1/ReN,de,T E
PHONO-WG-v1/ReN,vischet,F I SH E T
PHONO-WG-v1/ReN,ttet,T T E T
PHONO-WG-v1/ReN,synen,S I N E N
PHONO-WG-v1/ReN,vischende,F I SH E N T E
PHONO-WG-v1/ReN,don,T O N
PHONO-WG-v1/ReN,beuelen,P E U E L E N
PHONO-WG-v1/ReN,gentzliken,K E N T S L I K E N
PHONO-WG-v1/ReN,al,A L
PHONO-WG-v1/ReN,vortegen,F O R T E K E N
PHONO-WG-v1/ReN,vortigen,F O R T I K E N
PHONO-WG-v1/ReN,kalanderen,K A L A N T E R E N
PHONO-WG-v1/ReN,heren,H E R E N
PHONO-WG-v1/ReN,nud,N U T
PHONO-WG-v1/ReN,ein,E I N
PHONO-WG-v1/ReN,ok,O K
PHONO-WG-v1/ReN,allermanglik,A L L E R M A N K L I K
PHONO-WG-v1/ReN,eyn,E I N
PHONO-WG-v1/ReN,gantz,K A N T S
PHONO-WG-v1/ReN,gewer,K E W E R
PHONO-WG-v1/ReN,gu,K U
PHONO-WG-v1/ReN,d,T
PHONO-WG-v1/ReN,vordedingen,F O R T E T I N K E N
PHONO-WG-v1/ReN,glich,K L I X
PHONO-WG-v1/ReN,anderen,A N T E R E N
PHONO-WG-v1/ReN,wenne,W E N N E
PHONO-WG-v1/ReN,war,W A R
PHONO-WG-v1/ReN,nod,N O T
PHONO-WG-v1/ReN,desse,T E S S E
PHONO-WG-v1/ReN,eigendums,E I K E N T U M S
PHONO-WG-v1/ReN,tynses,T I N S E S
PHONO-WG-v1/ReN,dicke,T I K E
PHONO-WG-v1/ReN,genanten,K E N A N T E N
PHONO-WG-v1/ReN,erlike,E R L I K E
PHONO-WG-v1/ReN,herren,H E R R E N
PHONO-WG-v1/ReN,vt,F T
PHONO-WG-v1/ReN,kalande,K A L A N T E
PHONO-WG-v1/ReN,gegeuen,K E K E U E N
PHONO-WG-v1/ReN,redem,R E T E M
PHONO-WG-v1/ReN,gelde,K E L T E
PHONO-WG-v1/ReN,twe,T W E
PHONO-WG-v1/ReN,souentigh,S O U E N T I K H
PHONO-FR-v1,LIVRE,L I F R E
PHONO-FR-v1,III,I I I
PHONO-FR-v1,CHAPITRE,SH A P I T R E
PHONO-FR-v1,I,I
PHONO-FR-v1,Comment,K O M M E N T
PHONO-FR-v1,le,L E
PHONO-FR-v1,roy,R O I
PHONO-FR-v1,la,L A
PHONO-FR-v1,guerre,K U E R R E
PHONO-FR-v1,au,A U
PHONO-FR-v1,duc,T U S
PHONO-FR-v1,de,T E
PHONO-FR-v1,Bourgongne,P O U R K O N NY E
PHONO-FR-v1,et,E T
PHONO-FR-v1,les,L E S
PHONO-FR-v1,moyens,M O I E N S
PHONO-FR-v1,pour,P O U R
PHONO-FR-v1,commancer,K O M M A N S E R
PHONO-FR-v1,ladicte,L A T I K T E
PHONO-FR-v1,L,L
PHONO-FR-v1,an,A N
PHONO-FR-v1,mil,M I L
PHONO-FR-v1,IIIc,I I I S
PHONO-FR-v1,LXX,L X X
PHONO-FR-v1,print,P R I N T
PHONO-FR-v1,vouloir,F O U L O I R
PHONO-FR-v1,se,S E
PHONO-FR-v1,venger,F E N SH E R
PHONO-FR-v1,du,T U
PHONO-FR-v1,luy,L U I
PHONO-FR-v1,sembla,S E M P L A
PHONO-FR-v1,qu,K
PHONO-FR-v1,il,I L
PHONO-FR-v1,en,E N
PHONO-FR-v1,estoit,E S T O I T
PHONO-FR-v1,heure,H E U R E
PHONO-FR-v1,secrettement,S E K R E T T E M E N T
PHONO-FR-v1,traictoit,T R A I K T O I T
PHONO-FR-v1,souffroit,S O U F F R O I T
PHONO-FR-v1,traicter,T R A I K T E R
PHONO-FR-v1,que,K E
PHONO-FR-v1,villes,F I L L E S
PHONO-FR-v1,estans,E S T A N S
PHONO-FR-v1,sur,S U R
PHONO-FR-v1,rivière,R I F I E R E
PHONO-FR-v1,Somme,S O M M E
PHONO-FR-v1,comme,K O M M E
PHONO-FR-v1,Amyens,A M I E N S
PHONO-FR-v1,Sainct,S A I N K T
PHONO-FR-v1,Quentin,K E N T I N
PHONO-FR-v1,Abeville,A P E F I L L E
PHONO-FR-v1,tournassent,T O U R N A S S E N T
PHONO-FR-v1,contre,K O N T R E
PHONO-FR-v1,ilz,I L S
PHONO-FR-v1,appellassent,A P P E L L A S S E N T
PHONO-FR-v1,ses,S E S
PHONO-FR-v1,gens,SH E N S
PHONO-FR-v1,d,T
PHONO-FR-v1,armes,A R M E S
PHONO-FR-v1,missent,M I S S E N T
PHONO-FR-v1,dedans,T E T A N S
PHONO-FR-v1,car,K A R
PHONO-FR-v1,tousjours,T O U S SH O U R S
PHONO-FR-v1,grans,K R A N S
PHONO-FR-v1,seigneurs,S E I NY E U R S
PHONO-FR-v1,moins,M O I N S
PHONO-FR-v1,saiges,S A I SH E S
PHONO-FR-v1,veullent,F E U L L E N T
PHONO-FR-v1,sercher,S E R SH E R
PHONO-FR-v1,quelque,K E L K E
PHONO-FR-v1,bonne,P O N N E
PHONO-FR-v1,coulleur,K O U L L E U R
PHONO-FR-v1,ung,U N SH
PHONO-FR-v1,peu,P E U
PHONO-FR-v1,apparente,A P P A R E N T E
PHONO-FR-v1,Et,E T
PHONO-FR-v1,affin,A F F I N
PHONO-FR-v1,on,O N
PHONO-FR-v1,habilitéz,H A P I L I T E S
PHONO-FR-v1,quoy,K O I
PHONO-FR-v1,l,L
PHONO-FR-v1,use,U S E
PHONO-FR-v1,France,F R A N S E
PHONO-FR-v1,veulx,F E U L X
PHONO-FR-v1,compter,K O M P T E R
PHONO-FR-v1,cecy,S E S I
PHONO-FR-v1,fut,F U T
PHONO-FR-v1,guydé,K U I T E
PHONO-FR-v1,y,I
PHONO-FR-v1,furent,F U R E N T
PHONO-FR-v1,deceüz,T E S E U S
PHONO-FR-v1,tous,T O U S
PHONO-FR-v1,deux,T E U X
PHONO-FR-v1,qui,K I
PHONO-FR-v1,dura,T U R A
PHONO-FR-v1,bien,P I E N
PHONO-FR-v1,treize,T R E I S E
PHONO-FR-v1,ou,O U
PHONO-FR-v1,quatorze,K A T O R S E
PHONO-FR-v1,ans,A N S
PHONO-FR-v1,laquelle,L A K E L L E
PHONO-FR-v1,depuis,T E P U I S
PHONO-FR-v1,dure,T U R E
PHONO-FR-v1,aspre,A S P R E
PHONO-FR-v1,Il,I L
PHONO-FR-v1,est,E S T
PHONO-FR-v1,vray,F R A I
PHONO-FR-v1,desiroit,T E S I R O I T
PHONO-FR-v1,fort,F O R T
PHONO-FR-v1,ces,S E S
PHONO-FR-v1,feïssent,F E I S S E N T
PHONO-FR-v1,nouvelleté,N O U F E L L E T E
PHONO-FR-v1,couleurs,K O U L E U R S
PHONO-FR-v1,disant,T I S A N T
PHONO-FR-v1,ledict,L E T I K T
PHONO-FR-v1,estendoit,E S T E N T O I T
PHONO-FR-v1,limites,L I M I T E S
PHONO-FR-v1,plus,P L U S
PHONO-FR-v1,avant,A F A N T
PHONO-FR-v1,traicté,T R A I K T E
PHONO-FR-v1,ne,N E
PHONO-FR-v1,portoit,P O R T O I T
PHONO-FR-v1,ceste,S E S T E
PHONO-FR-v1,occasion,O K K A S I O N
PHONO-FR-v1,alloient,A L L O I E N T
PHONO-FR-v1,venoient,F E N O I E N T
PHONO-FR-v1,des,T E S
PHONO-FR-v1,embassadeurs,E M P A S S A T E U R S
PHONO-FR-v1,à,A
PHONO-FR-v1,autre,A U T R E
PHONO-FR-v1,passoient,P A S S O I E N T
PHONO-FR-v1,rapassoient,R A P A S S O I E N T
PHONO-FR-v1,par,P A R
PHONO-FR-v1,praticquans,P R A T I K K A N S
PHONO-FR-v1,marchéz,M A R SH E S
PHONO-FR-v1,ès,E S
PHONO-FR-v1,quelles,K E L L E S
PHONO-FR-v1,n,N
PHONO-FR-v1,avoit,A F O I T
PHONO-FR-v1,nulles,N U L L E S
PHONO-FR-v1,garnysons,K A R N I S O N S
PHONO-FR-v1,mais,M A I S
PHONO-FR-v1,paix,P A I X
PHONO-FR-v1,tout,T O U T
PHONO-FR-v1,royaulme,R O I A U L M E
PHONO-FR-v1,tant,T A N T
PHONO-FR-v1,costé,K O S T E
PHONO-FR-v1,dudict,T U T I K T
PHONO-FR-v1,Bretaigne,P R E T A I NY E
PHONO-FR-v1,monsr,M O N S R
PHONO-FR-v1,Guyenne,K U I E N N E
