a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
or,oly,390,65,407,37,0.32601630897895584,22
ain,chckhy,149,141,105,156,0.32600017945421245,22
oty,shedy,114,255,79,298,0.32597385130291645,30
dal,chos,190,42,138,44,0.32561329480267176,13
chol,daly,367,33,365,25,0.325605326059851,14
chody,air,80,95,87,76,0.3255612283504588,10
shy,oty,94,114,82,79,0.3253341926923359,20
dair,lor,93,38,76,42,0.3253097988094813,7
shar,cthol,34,55,24,40,0.32530002431617777,5
shody,shedy,50,255,44,298,0.3252476168390671,19
d,dor,53,63,32,69,0.32521044699813184,8
char,l,79,156,74,144,0.3250300270946536,16
kal,qoty,30,84,27,72,0.32479622744662096,9
ain,lor,149,38,105,42,0.32463274151235366,11
kal,qol,30,147,27,143,0.3244760505742307,11
dal,lor,190,38,138,42,0.32446949893723204,10
chal,kal,59,30,55,27,0.32432906254830796,10
qo,qol,51,147,56,143,0.3241845261917523,18
oky,shor,103,91,92,87,0.32408294992417536,15
dar,chy,287,197,245,151,0.3240657986191578,43
cthey,cthor,47,45,47,41,0.3239851612839116,11
dair,ches,93,44,76,45,0.3238684736495998,11
cthy,dor,100,63,71,69,0.3238213373756521,13
chal,kar,59,58,55,47,0.32356440115666074,13
chey,shcthy,510,30,581,36,0.3234097458640165,23
ain,sal,149,48,105,42,0.3232991323827435,14
chor,chdy,215,108,199,112,0.322349103990249,32
kal,l,30,156,27,144,0.32221504838195875,16
dair,chos,93,42,76,44,0.32206118091958724,8
qo,shedy,51,255,56,298,0.32202214351916186,19
dor,tar,63,43,69,36,0.32195309646016795,10
y,ches,210,44,185,45,0.32180835689591397,20
oky,cthey,103,47,92,47,0.3217817401051081,15
cthy,ain,100,149,71,105,0.3216904200128564,14
ar,oky,449,103,400,92,0.32161096544146167,33
cthol,chos,55,42,40,44,0.3216020770783165,9
shar,sol,34,63,24,76,0.3215025884391737,7
she,shy,41,94,34,82,0.32146531242102483,10
chey,kal,510,30,581,27,0.32124314688523226,19
cthy,al,100,311,71,250,0.320988116562982,20
chor,d,215,53,199,32,0.32089181307226583,6
oly,ches,65,44,37,45,0.32075014954979203,10
or,cthor,390,45,407,41,0.32067122632114026,20
o,sol,114,63,86,76,0.3203276135375402,16
she,tol,41,42,34,46,0.31988163910820006,9
kol,qo,35,51,32,56,0.3198010745334156,9
cthor,oly,45,65,41,37,0.3196422009902561,8
shol,r,176,196,179,180,0.3195977225305819,24
dair,o,93,114,76,86,0.31950239036015854,10
ol,kal,588,30,628,27,0.31935953310450066,19
shey,ol,344,588,382,628,0.3192611419650268,85
sho,cthor,118,45,124,41,0.31915006490008646,12
s,chl,328,33,285,30,0.3191144750990141,14
dy,shcthy,204,30,144,36,0.3188324565321822,11
chdy,ody,108,38,112,29,0.31863474626616217,13
shol,kchy,176,36,179,35,0.3185801724608512,15
tol,tar,42,43,46,36,0.3184973724075164,7
dal,kal,190,30,138,27,0.31831736519263026,15
chdy,qo,108,51,112,56,0.3181818181818182,20
dar,cthey,287,47,245,47,0.3179256751296802,23
chcthy,key,84,33,88,36,0.317925392228937,16
chody,kar,80,58,87,47,0.317827414941087,11
oty,shcthy,114,30,79,36,0.31774263823676774,13
char,chody,79,80,74,87,0.3177116927738891,15
dal,shckhy,190,55,138,67,0.3174606920003484,23
shody,kol,50,35,44,32,0.3173727247710039,8
chey,l,510,156,581,144,0.3173529223776196,55
shol,ches,176,44,179,45,0.3172083195826086,18
sho,dor,118,63,124,69,0.3169502674606462,12
chor,she,215,41,199,34,0.3168427393334083,12
kal,chedy,30,341,27,408,0.31670946211135526,16
ckhey,qo,32,51,32,56,0.3165869118066518,10
sho,shey,118,344,124,382,0.31620212350201593,45
chy,shcthy,197,30,151,36,0.31606522282130495,16
qoty,ody,84,38,72,29,0.3158988758955939,7
dain,shor,173,91,145,87,0.31581906221142264,21
shar,chol,34,367,24,365,0.3158046796141653,15
ol,sal,588,48,628,42,0.315709805308879,28
