a,b,family,support_a,support_b,TV,top_a,top_a_pct,top_b,top_b_pct,different_top
ar,chor,LF0002,15,12,0.48333333333333334,e·y,26.666666666666668,k·y,33.333333333333336,True
chol,al,LF0002,12,11,0.47727272727272724,o·l,33.333333333333336,a·r,27.272727272727273,True
shey,dy,LF0001,27,8,0.47685185185185186,a·r,33.333333333333336,a·l,25.0,True
chol,r,LF0002,12,9,0.4722222222222222,o·l,33.333333333333336,e·y,33.333333333333336,True
s,chor,LF0002,20,12,0.4666666666666667,o·l,25.0,k·y,33.333333333333336,True
dy,chedy,LF0001,8,34,0.4632352941176471,a·l,25.0,e·y,26.470588235294116,True
y,al,LF0002,14,11,0.461038961038961,o·l,28.571428571428573,a·r,27.272727272727273,True
chol,qol,LF0003,11,25,0.45818181818181813,y,54.54545454545455,DY,48.0,True
dar,ol,LF0014,9,23,0.4492753623188406,a·r,22.22222222222222,e·y,47.82608695652174,True
ar,qol,LF0010,9,9,0.4444444444444445,y,55.55555555555556,DY,55.55555555555556,True
chckhy,chedy,LF0001,10,34,0.43529411764705883,a·l,40.0,e·y,26.470588235294116,True
dain,qol,LF0010,8,9,0.4305555555555556,y,50.0,DY,55.55555555555556,True
s,ol,LF0002,20,40,0.42500000000000004,o·l,25.0,e·y,32.5,True
chol,ol,LF0002,12,40,0.425,o·l,33.333333333333336,e·y,32.5,True
al,l,LF0002,11,14,0.42207792207792205,a·r,27.272727272727273,e·s,21.428571428571427,True
ain,qol,LF0003,9,25,0.41777777777777775,y,55.55555555555556,DY,48.0,True
ar,s,LF0002,15,20,0.4166666666666667,e·y,26.666666666666668,o·l,25.0,True
ain,al,LF0003,9,12,0.4166666666666667,y,55.55555555555556,DY,50.0,True
s,dal,LF0007,9,8,0.41666666666666663,l,66.66666666666667,r,37.5,True
chol,dal,LF0007,33,8,0.41666666666666663,l,66.66666666666667,r,37.5,True
chey,al,LF0003,9,12,0.41666666666666663,y,66.66666666666667,DY,50.0,True
chey,shedy,LF0003,9,8,0.41666666666666663,y,66.66666666666667,DY,75.0,True
chol,al,LF0003,11,12,0.4015151515151515,y,54.54545454545455,DY,50.0,True
chey,chedy,LF0020,9,14,0.3888888888888889,r,66.66666666666667,l,50.0,True
s,dor,LF0002,20,9,0.38888888888888884,o·l,25.0,e·y,33.333333333333336,True
chol,dor,LF0002,12,9,0.38888888888888884,o·l,33.333333333333336,e·y,33.333333333333336,True
chey,qol,LF0003,9,25,0.38666666666666666,y,66.66666666666667,DY,48.0,True
or,ol,LF0019,8,11,0.38636363636363635,r,37.5,l,63.63636363636363,True
ar,chey,LF0008,9,10,0.37777777777777777,o·l,22.22222222222222,a·l,30.0,True
or,dal,LF0007,15,8,0.375,l,46.666666666666664,r,37.5,True
dain,shedy,LF0003,13,8,0.36538461538461536,y,53.84615384615385,DY,75.0,True
shey,shedy,LF0001,27,35,0.35873015873015873,a·r,33.333333333333336,e·y,31.428571428571427,True
or,s,LF0002,23,20,0.3586956521739131,e·y,30.434782608695652,o·l,25.0,True
qoky,shedy,LF0003,10,8,0.35,y,50.0,DY,75.0,True
chol,ol,LF0007,33,11,0.3333333333333333,l,66.66666666666667,r,45.45454545454545,True
or,chol,LF0003,15,11,0.32727272727272727,DY,40.0,y,54.54545454545455,True
s,ol,LF0007,9,11,0.3232323232323232,l,66.66666666666667,r,45.45454545454545,True
ol,al,LF0003,42,12,0.32142857142857145,y,45.23809523809524,DY,50.0,True
ol,shedy,LF0003,42,8,0.32142857142857145,y,45.23809523809524,DY,75.0,True
qoky,qol,LF0003,10,25,0.31999999999999995,y,50.0,DY,48.0,True
chol,dar,LF0003,11,12,0.3181818181818182,y,54.54545454545455,DY,50.0,True
chor,dal,LF0007,15,8,0.30833333333333335,l,53.333333333333336,r,37.5,True
or,s,LF0019,8,11,0.29545454545454547,r,37.5,l,45.45454545454545,True
shey,chedy,LF0001,27,34,0.29193899782135074,a·r,33.333333333333336,e·y,26.470588235294116,True
dain,al,LF0003,13,12,0.28846153846153844,y,53.84615384615385,DY,50.0,True
shey,chedy,LF0020,14,14,0.28571428571428575,r,64.28571428571429,l,50.0,True
