a,b,count_a,count_b,succ_cos,pred_cos,score
shy,sar,94,77,0.3513266868814908,0.4012463276316281,0.36630257910653197
kol,l,35,156,0.38969793824068344,0.31158769154300703,0.3662648642313805
chal,chos,59,42,0.3922066165747628,0.3057306630967885,0.36626383053137046
s,chal,328,59,0.3505285282024158,0.4027846007366696,0.36620534996269194
char,dol,79,97,0.355387571118652,0.39111780697396814,0.3661066418752468
dam,shcthy,59,30,0.3765606793140775,0.3411525175850737,0.3659382307953763
kal,shckhy,30,55,0.37936015896215247,0.3344898836895255,0.36589907638036434
sho,l,118,156,0.42330427280002997,0.2318812680184488,0.3658773713655556
she,qo,41,51,0.42231130273739204,0.23418814235888497,0.3658743546238399
dol,chl,97,33,0.3579408870280531,0.38434296660522044,0.3658615109012033
sy,oly,40,65,0.3446524491926081,0.41506052398846716,0.3657748716313658
am,tar,115,43,0.39864507626999024,0.2887100153582044,0.3656645579964544
chol,l,367,156,0.4121787684247826,0.25676979356274093,0.36555607596617007
chy,chos,197,42,0.36796559020078967,0.35968961137924294,0.36548279655432564
chol,kal,367,30,0.39234615327591205,0.30271598082223394,0.3654571015398086
ckhey,she,32,41,0.4274695862671078,0.22066404997375466,0.36542792537910185
sy,qoty,40,84,0.3897199557215712,0.3082260366385033,0.36527177999665084
sal,sol,48,63,0.3950798974496528,0.2948960312417755,0.3650247375872896
chal,ckhy,59,38,0.393478214686525,0.2985303508361759,0.3649938555314202
shar,am,34,115,0.38224552478920415,0.3244894542641018,0.3649187036316734
sal,shcthy,48,30,0.3872304783645967,0.3125152417604586,0.36481590738335523
she,dam,41,59,0.3038110208067449,0.507142857142857,0.3648105717075785
chdy,air,108,95,0.3606287419600246,0.3743215847571476,0.3647365947991615
cthey,chcthy,47,84,0.3662926249288454,0.3607634953938315,0.36463388606834124
sal,air,48,95,0.4047299698671728,0.27093511576220036,0.36459151363568104
air,lor,95,38,0.43402125319373325,0.2023020494745052,0.3645054920779648
ckhey,dam,32,59,0.3570882513199911,0.3817516985129176,0.364487285477869
