a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
dy,key,204,33,144,36,0.3343730721323787,17,16
shar,kar,34,58,24,47,0.3340765523905306,8,5
kol,qo,35,51,33,59,0.3338679500895849,13,12
shor,al,91,311,85,245,0.33313223793667546,40,27
dol,sor,97,43,89,45,0.3330915245722141,12,6
chor,chdy,215,108,199,113,0.3327254161463743,43,35
cthy,kchy,100,36,67,36,0.33266092167100336,9,7
dy,l,204,156,144,137,0.3324305238840979,42,31
al,chl,311,33,245,28,0.3323470256441983,17,15
qo,o,51,114,59,83,0.331831824197984,20,17
shol,cthey,176,47,181,50,0.3310952433218816,24,23
shar,chal,34,59,24,57,0.33104235544094723,9,8
ol,oly,588,65,609,33,0.33010131053075004,23,20
r,tol,196,42,176,48,0.3298581345803758,22,16
chckhy,l,141,156,153,137,0.3298001790807729,38,32
s,qol,328,147,291,132,0.3295515211836322,59,25
ar,cthor,449,45,388,42,0.3291865256408656,29,21
dal,oty,190,114,139,79,0.3291204204807019,25,19
chey,cthor,510,45,580,42,0.329086484192737,34,21
dor,tar,63,43,68,35,0.32871912932571284,14,10
tol,cheo,42,75,48,62,0.3284733426658932,12,10
chol,she,367,41,362,39,0.328246674542581,29,26
ain,lor,149,38,107,39,0.32792444804791443,17,11
chol,cheo,367,75,362,62,0.32721535849297945,37,23
dar,shckhy,287,55,242,64,0.32704896178259285,28,20
dor,o,63,114,68,83,0.3270282409000226,16,10
dy,shcthy,204,30,144,33,0.32668791237884054,16,11
y,d,210,53,176,32,0.32647861720012933,18,10
sho,oky,118,103,124,90,0.3264604849642831,25,19
sho,dal,118,190,124,139,0.3263766828841098,28,20
shol,cheo,176,75,181,62,0.3262139059963171,27,19
r,dal,196,190,176,139,0.32602055341496666,40,25
char,chal,79,59,75,57,0.32600506891060826,14,13
shol,ain,176,149,181,107,0.32500758218807135,40,30
chy,ckhy,197,38,157,27,0.32483378735048085,17,14
shol,kchy,176,36,181,36,0.3245052291176467,19,16
am,air,115,95,38,70,0.3243745600673012,10,8
char,oty,79,114,75,79,0.3243317278905614,19,17
chol,chdy,367,108,362,113,0.3242118896301368,59,45
dal,sar,190,77,139,48,0.3241301375699891,19,14
ol,sal,588,48,609,44,0.32400607320774405,34,27
chey,l,510,156,580,137,0.32395694381090595,82,57
ar,chdy,449,108,388,113,0.32383983108558073,61,47
y,shey,210,344,176,374,0.32346309543654383,80,48
chor,chey,215,510,199,580,0.32346071880662824,99,51
am,shor,115,91,38,85,0.3231507041569138,15,12
kol,dol,35,97,33,89,0.323146244425708,11,11
