subject_a,subject_b,family,support_a,support_b,TV,JSD,top_end_a,top_end_a_pct,top_end_b,top_end_b_pct,different_top
r,sar,F0010,30,9,0.0777777777777778,0.017112038899247277,in,96.66666666666667,in,88.88888888888889,False
shey,chey,F0027,15,13,0.06666666666666665,0.034162632807821544,n,93.33333333333333,n,100.0,False
or,s,F0010,58,53,0.034482758620689634,0.017459583946934858,in,96.55172413793103,in,100.0,False
or,ol,F0010,58,24,0.034482758620689634,0.017459583946934858,in,96.55172413793103,in,100.0,False
or,o,F0010,58,12,0.034482758620689634,0.017459583946934858,in,96.55172413793103,in,100.0,False
s,r,F0011,53,30,0.033333333333333326,0.016870446910108472,n,100.0,n,96.66666666666667,False
s,r,F0010,53,30,0.033333333333333326,0.016870446910108472,in,100.0,in,96.66666666666667,False
r,ol,F0011,30,24,0.033333333333333326,0.016870446910108472,n,96.66666666666667,n,100.0,False
r,ol,F0010,30,24,0.033333333333333326,0.016870446910108472,in,96.66666666666667,in,100.0,False
r,o,F0011,30,12,0.033333333333333326,0.016870446910108472,n,96.66666666666667,n,100.0,False
r,o,F0010,30,12,0.033333333333333326,0.016870446910108472,in,96.66666666666667,in,100.0,False
ar,s,F0011,32,53,0.03125,0.015803913148412323,n,96.875,n,100.0,False
ar,s,F0010,32,53,0.03125,0.015803913148412323,in,96.875,in,100.0,False
ar,ol,F0010,32,24,0.03125,0.015803913148412323,in,96.875,in,100.0,False
ar,ol,F0011,32,24,0.03125,0.015803913148412323,n,96.875,n,100.0,False
ar,o,F0011,32,12,0.03125,0.015803913148412323,n,96.875,n,100.0,False
ar,o,F0010,32,12,0.03125,0.015803913148412323,in,96.875,in,100.0,False
or,s,F0011,57,53,0.017543859649122834,0.008827927102630653,n,98.24561403508773,n,100.0,False
or,ol,F0011,57,24,0.017543859649122834,0.008827927102630653,n,98.24561403508773,n,100.0,False
or,o,F0011,57,12,0.017543859649122834,0.008827927102630653,n,98.24561403508773,n,100.0,False
or,r,F0010,58,30,0.01724137931034481,0.010500141201671398,in,96.55172413793103,in,96.66666666666667,False
ar,or,F0010,32,58,0.017241379310344807,0.010103273873800073,in,96.875,in,96.55172413793103,False
or,r,F0011,57,30,0.015789473684210496,0.0018430236089560705,n,98.24561403508773,n,96.66666666666667,False
ar,or,F0011,32,57,0.013706140350877166,0.0014421965855230612,n,96.875,n,98.24561403508773,False
s,chol,F0009,8,29,0.00862068965517239,7.231843614748275e-05,l,75.0,l,75.86206896551724,False
ar,r,F0011,32,30,0.0020833333333333294,2.505186427256183e-05,n,96.875,n,96.66666666666667,False
ar,r,F0010,32,30,0.0020833333333333294,2.505186427256183e-05,in,96.875,in,96.66666666666667,False
s,ol,F0011,53,24,0.0,0.0,n,100.0,n,100.0,False
s,ol,F0010,53,24,0.0,0.0,in,100.0,in,100.0,False
s,o,F0011,53,12,0.0,0.0,n,100.0,n,100.0,False
s,o,F0010,53,12,0.0,0.0,in,100.0,in,100.0,False
chol,ol,F0005,28,9,0.0,0.0,n,100.0,n,100.0,False
chol,ol,F0003,28,9,0.0,0.0,in,100.0,in,100.0,False
chol,chy,F0005,28,8,0.0,0.0,n,100.0,n,100.0,False
chol,chy,F0003,28,8,0.0,0.0,in,100.0,in,100.0,False
ol,o,F0011,24,12,0.0,0.0,n,100.0,n,100.0,False
ol,o,F0010,24,12,0.0,0.0,in,100.0,in,100.0,False
chor,chol,F0005,8,28,0.0,0.0,n,100.0,n,100.0,False
chor,chol,F0003,8,28,0.0,0.0,in,100.0,in,100.0,False
chor,ol,F0005,8,9,0.0,0.0,n,100.0,n,100.0,False
chor,ol,F0003,8,9,0.0,0.0,in,100.0,in,100.0,False
chy,ol,F0005,8,9,0.0,0.0,n,100.0,n,100.0,False
chy,ol,F0003,8,9,0.0,0.0,in,100.0,in,100.0,False
chor,chy,F0005,8,8,0.0,0.0,n,100.0,n,100.0,False
chor,chy,F0003,8,8,0.0,0.0,in,100.0,in,100.0,False
